"Procedure","SnapshotLine","Callers","RepositoryDefinitions"
"sp_alterdiagram","412","",""
"sp_ApproveOutwardChallan","479","Models\DataLayer.cs","DatabaseSchema.sql"
"sp_AssignUnloading","529","DAL\UnloadTransactionDAL.cs","Workflow_Schema_Update.sql"
"sp_CompleteGateExit","548","DAL\GateEntryDAL.cs","TransactionSchema.sql"
"sp_creatediagram","564","",""
"sp_CreateGateEntry","624","DAL\GateEntryDAL.cs","GateEntry_Location_Update.sql; TransactionSchema.sql; Workflow_Schema_Update.sql"
"sp_CreateGatemanInward","640","Models\DataLayer.cs","DatabaseSchema.sql"
"sp_CreateSecurityIncident","672","Models\DataLayer.cs","PDF_Module_Schema_Update.sql"
"sp_CreateTempMaterialEntry","704","Models\DataLayer.cs","PDF_Module_Schema_Update.sql"
"sp_CreateUserLogin","744","DAL\PersonDAL.cs","AutoCode_And_Department_DB_Update.sql; DatabaseSchema.sql; Phase7_DB_Updates.sql"
"sp_CreateVisitorEntry","790","Models\DataLayer.cs","PDF_Module_Schema_Update.sql"
"sp_dropdiagram","830","",""
"sp_ExitVisitor","873","Models\DataLayer.cs","PDF_Module_Schema_Update.sql"
"sp_GetActiveInwardEntriesForDropdown","886","Models\DataLayer.cs","DatabaseSchema.sql"
"sp_GetAllBagTypes","899","DAL\BagTypeDAL.cs","RemainingMasterSPs.sql"
"sp_GetAllDesignations","910","","FinalMasterSPs.sql"
"Sp_GetAllDhermKataorLocations","921","Models\DataLayer.cs",""
"sp_GetAllGateEntries","947","DAL\GateEntryDAL.cs","FixDashboardSP.sql; TransactionSchema.sql; Workflow_Schema_Update.sql"
"sp_GetAllItemCategories","962","DAL\ItemCategoryDAL.cs","RemainingMasterSPs.sql"
"sp_GetAllItems","973","DAL\ItemDAL.cs","FinalMasterSPs.sql"
"Sp_GetAlloffice","985","",""
"sp_GetAllOffices","996","DAL\OfficeDAL.cs; Models\DataLayer.cs",""
"Sp_GetAllPersonFordublicacyMobileNumber","1007","DAL\PersonDAL.cs",""
"sp_GetAllPersons","1019","DAL\PersonDAL.cs",""
"sp_GetAllPosts","1043","DAL\PostDAL.cs; Models\DataLayer.cs","RemainingMasterSPs.sql"
"sp_GetAllSecurityIncidents","1054","Models\DataLayer.cs","PDF_Registers_Get_SPs.sql"
"sp_GetAllTempMaterials","1068","Models\DataLayer.cs","PDF_Registers_Get_SPs.sql"
"sp_GetAllVehicles","1082","DAL\VehicleDAL.cs","FinalMasterSPs.sql"
"sp_GetAllVisitors","1093","Models\DataLayer.cs","PDF_Registers_Get_SPs.sql"
"sp_GetChallanDetailsForOutward","1107","Models\DataLayer.cs","DatabaseSchema.sql"
"sp_GetDashboardStats","1136","","FixDashboardSP.sql; Phase7_DB_Updates.sql"
"Sp_GetemployeePost","1167","",""
"Sp_GetMeth","1175","",""
